Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 85 milliseconds, 859371 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 84 milliseconds, 844325 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 888921 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 87 milliseconds, 875921 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 98 milliseconds, 981475 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 91 milliseconds, 910150 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 95 milliseconds, 951422 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 103 milliseconds, 1034523 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 86 milliseconds, 865828 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 93 milliseconds, 935818 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 95 milliseconds, 951957 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 100 milliseconds, 1006548 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 102 milliseconds, 1023441 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 98 milliseconds, 980435 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 109 milliseconds, 1094666 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 100 milliseconds, 1007645 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 100 milliseconds, 1006443 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 102 milliseconds, 1020450 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 93 milliseconds, 934450 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 95 milliseconds, 955016 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 885234 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 884194 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 811297 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 80 milliseconds, 806257 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 76 milliseconds, 760674 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 815343 ticks
